,article_content,labels
786,04042016 alnusra spokesman son 20 terrorist kill idleb strike spokesman alqaeda syrian affili alnusra front takfiri group son 20 terrorist kill air strike sunday northeast countri spokesman alqaeda syrian affili alnusra front takfiri group son 20 terrorist kill air strike sunday northeast countri monitor group said abu fira alsuri son least 20 jihadist alnusra jund alaqsa jihadist uzbekistan kill strike posit idleb provinc ukbas syrian observatori human right chief rami abdel rahman said statement monitor said immedi clear raid carri syrian regim warplan russian alli abdel rahman indic suri meet lead terrorist kafar jale raid took place two alnusra jund alaqsa target also hit mani serious injur ad syrian suri real name radwan nammou fought soviet forc afghanistan met alqaeda leader osama bin laden abdullah azzam bin laden mentor return syria 2011 afp report cite support twitter wednesday drone strike near syrian alraqqa provinc kill terrorist command accord observatori latest seri blow terrorist recent week,1
249,dozen civilian dead rebel assault aleppo afp sunday 30 oct 2016 syria regim rebel lock fierc fight sunday aleppo western edg 38 civilian kill twoday opposit offens break govern sieg rebel alli milit launch major offens friday break govern line reach 250000 peopl live citi east sinc unleash salvo rocket artilleri shell car bomb around western governmentcontrol district syria second citi aleppo devast heaviest fight countri fiveyear civil war kill 300000 peopl much oncebustl econom hub reduc rubbl air artilleri bombard includ barrel bomb crude unguid explos devic caus indiscrimin damag rebel fighter launch hundr rocket shell onto western district posit insid citi western edg said rami abdel rahman head syrian observatori human right two day heavi rebel bombard kill 38 civilian includ 14 children wound anoth 250 fight also kill 30 regim alli fighter well 50 syrian rebel accord observatori monitor immedi death toll foreign antiregim fighter mani join milit faction 1500 rebel mass 15kilometr front along western edg aleppo sinc friday score quick gain dahiyet alassad district struggl push east sinc advanc dahiyet alassad toward hamdaniyeh said yasser alyoussef noureddin alzinki rebel faction hamdaniyeh regimeheld district directli adjac oppositioncontrol eastern neighbourhood fight last night sunday air strike artilleri fire along western battlefront heard even eastern district afp correspond said plume smoke could seen snake citi skylin proregim militari sourc told afp rebel assault massiv coordin insist unabl break neighbourhood besid dahiyet alassad theyr use grad missil car bomb support foreign fighter rank said wage assault includ aleppo rebel reinforc idlib provinc west among milit fateh alsham front chang name alnusra front break tie alqaeda aleppo front line run heart citi divid rebel east govern troop west late septemb govern troop launch assault recaptur eastern rebelcontrol territori back fierc air strike russia launch air war 2015 back presid bashar alassad forc onslaught spur massiv intern critic moscow damascu last week russia implement threeday humanitarian paus intend allow civilian surrend rebel leav aleppo east moscow say continu halt air strike aleppo place sinc octob 18 russian militari said friday ask presid vladimir putin author resum raid kremlin spokesman dmitri peskov said putin consid inappropri current moment ad presid thought necessari continu humanitarian paus aleppo,0
283,five dead blast secur hq central syria ngo afp thursday 6 mar 2014 least five peopl kill 20 wound thursday bomb blast near secur headquart syria central hama citi monitor said truck pack explos deton near branch militari intellig kill least five peopl injur 20 syrian observatori human right said syrian state televis also report blast say four peopl kill 22 wound terrorist explos southern entranc citi northern provinc raqa two suicid bomber explod insid base 17 armi base sieg opposit forc accord observatori britainbas group reli activist wit insid syria group said two fighter jihadist islam state iraq levant blown headquart north group stronghold raqa provinci capit clash regim forc isil broke blast observatori said kill sever soldier damascu meanwhil group said man die regim shell day earlier palestinian yarmuk camp ceasefir broken renew fight halt aid deliveri effort besieg camp two peopl die lack food medic care wednesday observatori said around 130 peopl report die shortag camp caus tight armi sieg 140000 peopl estim kill sinc start upris presid bashar alassad march 2011,0
724,10112014 syrian armi kill terrorist command qalamoun advanc deir ezour syrian armi kill terrorist command well five entourag tri infiltr toward filita qalamoun damascu countrysid syrian armi kill terrorist command well five entourag tri infiltr toward filita qalamoun damascu countrysid syrian armi also advanc huweijet al sakr deior ezour kill injur score terrorist,1
609,fri apr 15 2016 150 terrorist infiltr syria turkey latakia russian coordin center russian coordin center hmeimim report thursday infiltr 150 terrorist northeastern latakia seen cross border turkey center state statement publish site russian defens ministri 150 terrorist monitor track russian coordin center cross turkish armi checkpoint order enter syria northeastern countrysid latakia april 11 gener staff arm forc russian feder announc turkish regim still support jabhat alnusra terrorist organ provid weapon terrorist lieuten gener sergey rudskoy chief main oper director gener staff said turkish side still send weapon gunmen group affili jabhat alnusra ad two arm group includ 100 member arriv handarat camp north aleppo along tank 22 fourwheel car load machin gun nearli 200 gunmen arriv tal hadyah town aleppo northern countrysid sana news report 21211,1
428,13 octob 2016 two children kill 5 other injur terrorist rocket attack aleppo two children kill 5 other injur terrorist organ fire rocket shell alsulaimaniyeh area aleppo citi sourc aleppo polic command told sana thursday rocket shell fire terrorist organ hatim altai school altelifoun alhawaei neighborhood al sulaymaniyah area aleppo citi claim live two children injur five other two critic h zain ghossoun,0
359,publish april 26 2017 least 6 civilian kill 35 other injur assad regim airstrik target refuge camp syria northwestern idlib provinc wednesday civil defens offici told anadolu agenc refuge camp locat east idlib maarat alnumaan district target regim war plane civil defens unit immedi sent attack site transfer wound nearbi hospit health center medic treatment camp reportedli host mani refuge hama aleppo health offici also state death toll could rise due high number injur civilian anoth civil defens offici idlib told anadolu agenc regim warplan drop total three parachut bomb camp site syria lock devast civil war sinc earli 2011 initi assad regim crack prodemocraci protest began part arab spring upris unexpect brutal disproportion forc sinc thousand believ kill million displac,0
349,publish april 4 2017 assad regim use chemic weapon kill least 100 civilian includ children airstrik releas oppositionheld idlib thirti ambul dispatch turkey rescu dire need help assad regim continu commit crime human 100 civilian kill 500 other mostli children affect chlorin ga attack carri regim warplan khan shaykun town idlib latest chemic attack seen worst counti sixyear war mani civilian suffer respiratori problem dire need help turkey dispatch 30 fulli equip ambul rescu oper report claim third chemic attack week syria assad regim consist target residenti area first two attack report hama provinc area close yesterday chemic attack ga attack syrian regim reportedli bombard hospit town doctor treat victim turkey condemn chemic attack syria oppositionheld town idlib describ crime human chemic attack idlib inhuman unaccept presid recep tayyip erdogan said stress import maintain fragil syrian ceasefir phone convers russian presid vladimir putin presid reiter need effort strengthen cooper fight terror foreign minist mevlt avuolu also state suspect use chemic weapon could derail process syrian peac talk held astana kazakhstan parallel seri talk astana kazakhstan aim bolster truce support un negoti damascu scene heavi fight recent day moder syrian opposit make larg incurs east syrian capit assad regim respond airstrik opposit posit last round astana talk began feb 23 end march 4 without clear result next meet astana held may 34 global chemic arm watchdog said serious concern report suspect ga attack organ prohibit chemic weapon opcw serious concern alleg chemic weapon attack report media morn khan sheikhun area southern idlib group said ad gather analyz inform avail sourc chlorin ga one sever element compound use devast chemic attack outlaw intern treati high level exposur ga caus suffoc chemic injur pulmonari airway result sever fluid buildup lung children senior particularli vulner wake 2013 attack assad agre russiasponsor deal destroy chemic arsen join chemic weapon convent govern declar 1300ton stockpil chemic weapon socal precursor chemic use make weapon amid intern outrag nerv ga attack outskirt damascu weapon destroy member state opcw repeatedli question whether assad declar everyth 2013 wide avail chemic chlorin cover 2013 declar activist say document dozen case chlorin ga attack sinc syrian govern consist deni use chemic weapon chlorin ga accus rebel deploy war instead franc foreign minist call emerg meet unit nation secur council said disgust ga attack syria rebelheld idlib provinc face seriou action threaten intern secur ask everyon shirk respons mind ask emerg meet un secur council ad franc britain unit state februari put forward resolut impos sanction target syrian govern offici accus chemic weapon attack sixyear conflict intern inquiri found syrian regim respons three chlorin ga attack daesh milit use mustard ga,0
735,24082014 syrian armi kill 50 alnusra front terrorist daraa syrian armi success kill least 50 alqaedalink terrorist daraa countrysid southern syria syrian armi success kill least 50 alqaedalink terrorist daraa countrysid southern syria armi unit made major advanc town arabeen eastern ghouta kill least 35 terrorist fierc clash syrian armi ambush gather alnusra front daraa citi kill 50 milit friday militari sourc announc syrian forc defeat milit across outskirt daraa larg number milit kill wound mani other fled battlefront syrian soldier massiv attack stronghold aljubailiyeh area cement factori aleppo sourc note syrian armi victori arabeen douma marj alsultan zobdin tarma widen rift among milit meantim syrian troop regain control cement factori near citi aleppo armi unit continu militari oper almoslemieh region near aleppo central prison also syrian arm forc inflict massiv loss upon insurg idlib damascu countrysid kill wound larg number foreignback milit seri new oper syrian soldier battl rebel nahleh town idlib countrysid score kill syrian arab news agenc report militari sourc told state news agenc sunday 180 gunmen bassima damascu countrysid turn weapon author,1
37,publish juli 20 2015 checkpoint belong assad forc seen coalit rebel group call jaish al fateh said took control highway connect aleppo latakia june 6 2015 reuter two peopl kill 15 injur syrian regim forc attack avanl villag jabal alturkmen mountain predominantli inhabit syrian turkmen locat northwestern latakia provinc accord syria turk associ tank artilleri missil use attack explos also heard villag locat turkish side border four wound brought hospit turkey hatay provinc treatment attack larger part oper syrian armi announc sunday step air strike retaken villag new offens opposit forc coastal provinc latakia aerial bombard intensifi past 48 hour bid cut rebel suppli line rug territori close turkey border armi sourc quot say state media latakia provinc home syria biggest port stronghold presid bashar al assad alawit sect key battleground conflict fifth year sunni muslim group includ al qaeda syrian offshoot nusra front control mani villag borderland north governmentheld mediterranean port citi latakia area domin alawit follow offshoot shiit islam armi said five villag hilltop includ beit khadour beit zaifa tel alkhadar jabal al rahmaliya wrest back insurg bring closer border area armi step campaign provinc sinc insurg took strateg locat town jisr al shughour april strengthen posit mountain rang overlook alawit villag close qardaha hometown assad famili area control opposit forc sinc septemb 2012 rough terrain heavi forest allow opposit forc resist heavi syrian armi shell withstand heavi aerial bomb defens analyst say syrian armi offic said aim latest oper cut rebel suppli line turkish border rebel held villag includ town salma held nusra front sinc 2012 arm men weaker tri dare get close latakia senior armi offic quot say report area lebanes hezbollah televis almanar correspond last year syrian armi wrest back control christian town border town kasab gateway turkey nearer coast latakia less three month control opposit forc includ nusra front syrian war taken starkli sectarian charact overwhelmingli sunni muslim rebel back sunni gulf arab power fight overthrow assad back shiit iran,1
